"Date","Close","Open","High","Low","Volume","Change %"
"05/08/2019","25,967.33","25,933.79","26,118.10","25,889.41","276.42M","0.01%"
"05/07/2019","25,965.09","26,276.90","26,276.90","25,789.71","334.96M","-1.79%"
"05/06/2019","26,438.48","26,160.62","26,476.27","26,033.95","283.02M","-0.25%"
"05/03/2019","26,504.95","26,379.14","26,534.96","26,370.09","248.90M","0.75%"
"05/02/2019","26,307.79","26,407.15","26,454.69","26,180.36","287.61M","-0.46%"
"05/01/2019","26,430.14","26,639.06","26,689.39","26,426.38","303.85M","-0.61%"
"04/30/2019","26,592.91","26,594.56","26,614.04","26,419.47","340.32M","0.15%"
"04/29/2019","26,554.39","26,559.87","26,602.54","26,520.75","279.45M","0.04%"
"04/26/2019","26,543.33","26,454.62","26,543.56","26,392.55","317.29M","0.31%"
"04/25/2019","26,462.08","26,426.37","26,536.48","26,310.28","296.73M","-0.51%"
"04/24/2019","26,597.05","26,652.56","26,680.58","26,582.86","283.37M","-0.22%"
"04/23/2019","26,656.39","26,513.83","26,695.96","26,503.56","311.69M","0.55%"
"04/22/2019","26,511.05","26,510.77","26,553.05","26,458.61","232.57M","-0.18%"
"04/18/2019","26,559.54","26,463.37","26,602.42","26,444.53","332.85M","0.42%"
"04/17/2019","26,449.54","26,468.53","26,501.02","26,391.86","367.78M","-0.01%"
"04/16/2019","26,452.66","26,482.19","26,530.71","26,397.19","302.34M","0.26%"
"04/15/2019","26,384.77","26,407.76","26,424.85","26,316.42","250.62M","-0.10%"
"04/12/2019","26,412.30","26,357.79","26,436.68","26,309.72","369.91M","1.03%"
"04/11/2019","26,143.05","26,188.21","26,229.88","26,062.59","211.68M","-0.05%"
"04/10/2019","26,157.16","26,173.71","26,209.49","26,101.24","203.13M","0.03%"
"04/09/2019","26,150.58","26,243.54","26,246.34","26,103.14","244.41M","-0.72%"
"04/08/2019","26,341.02","26,312.67","26,344.65","26,246.03","229.38M","-0.32%"
"04/05/2019","26,424.99","26,427.56","26,487.57","26,370.82","229.55M","0.15%"
"04/04/2019","26,384.63","26,213.42","26,398.90","26,212.78","233.04M","0.64%"
"04/03/2019","26,218.13","26,238.03","26,282.17","26,138.47","271.98M","0.15%"
"04/02/2019","26,179.13","26,213.55","26,221.24","26,122.31","250.94M","-0.30%"
"04/01/2019","26,258.42","26,075.10","26,280.90","26,071.69","295.57M","1.27%"
"03/29/2019","25,928.68","25,827.31","25,949.32","25,771.67","300.62M","0.82%"
"03/28/2019","25,717.46","25,693.32","25,743.41","25,576.69","237.17M","0.36%"
"03/27/2019","25,625.59","25,676.34","25,758.17","25,425.27","270.34M","-0.13%"
"03/26/2019","25,657.73","25,649.56","25,796.29","25,544.78","305.11M","0.55%"
"03/25/2019","25,516.83","25,490.72","25,603.27","25,372.26","303.12M","0.06%"
"03/22/2019","25,502.32","25,844.65","25,877.01","25,501.45","386.51M","-1.77%"
"03/21/2019","25,962.51","25,688.44","26,009.90","25,657.78","335.25M","0.84%"
"03/20/2019","25,745.67","25,867.79","25,929.52","25,670.63","321.98M","-0.55%"
"03/19/2019","25,887.38","25,987.87","26,109.68","25,814.92","342.25M","-0.10%"
"03/18/2019","25,914.10","25,801.88","25,924.77","25,785.66","303.17M","0.25%"
"03/15/2019","25,848.87","25,720.96","25,927.91","25,649.70","616.91M","0.54%"
"03/14/2019","25,709.94","25,692.31","25,752.84","25,621.31","302.79M","0.03%"
"03/13/2019","25,702.89","25,637.23","25,776.49","25,571.31","331.41M","0.58%"
"03/12/2019","25,554.66","25,600.30","25,675.44","25,522.17","312.52M","-0.38%"
"03/11/2019","25,650.88","25,208.00","25,661.63","25,208.00","309.79M","0.79%"
"03/08/2019","25,450.24","25,347.38","25,466.14","25,252.46","270.50M","-0.09%"
"03/07/2019","25,473.23","25,645.45","25,645.45","25,352.55","289.14M","-0.78%"
"03/06/2019","25,673.46","25,818.76","25,837.61","25,633.71","256.25M","-0.52%"
"03/05/2019","25,806.63","25,829.07","25,877.15","25,725.63","252.26M","-0.05%"
"03/04/2019","25,819.65","26,122.19","26,155.98","25,611.55","295.51M","-0.79%"
"03/01/2019","26,026.32","26,019.67","26,143.92","25,914.37","289.89M","0.43%"
"02/28/2019","25,916.00","25,984.28","26,029.21","25,896.56","338.52M","-0.27%"
"02/27/2019","25,985.16","25,995.60","26,039.68","25,877.24","255.38M","-0.28%"
"02/26/2019","26,057.98","26,051.61","26,155.29","25,966.01","257.85M","-0.13%"
"02/25/2019","26,091.95","26,126.15","26,241.42","26,080.66","281.60M","0.23%"
"02/22/2019","26,031.81","25,906.27","26,052.90","25,906.27","279.76M","0.70%"
"02/21/2019","25,850.63","25,922.41","25,938.88","25,762.21","255.71M","-0.40%"
"02/20/2019","25,954.44","25,872.26","25,986.20","25,846.48","287.88M","0.24%"
"02/19/2019","25,891.32","25,849.85","25,961.44","25,820.01","280.62M","0.03%"
"02/15/2019","25,883.25","25,564.63","25,883.72","25,564.63","328.53M","1.74%"
"02/14/2019","25,439.39","25,460.65","25,558.90","25,308.09","313.01M","-0.41%"
"02/13/2019","25,543.27","25,480.86","25,625.95","25,480.86","263.33M","0.46%"
"02/12/2019","25,425.76","25,152.03","25,458.98","25,152.03","278.11M","1.49%"
"02/11/2019","25,053.11","25,142.81","25,196.75","25,009.10","241.70M","-0.21%"
"02/08/2019","25,106.33","25,042.36","25,106.39","24,883.04","248.21M","-0.25%"
"02/07/2019","25,169.53","25,265.81","25,314.26","25,000.52","295.46M","-0.87%"
"02/06/2019","25,390.30","25,371.57","25,439.04","25,312.06","247.59M","-0.08%"
"02/05/2019","25,411.52","25,287.93","25,427.32","25,287.65","310.65M","0.68%"
"02/04/2019","25,239.37","25,062.12","25,239.91","24,977.67","298.54M","0.70%"
"02/01/2019","25,063.89","25,025.31","25,193.15","24,982.49","372.09M","0.26%"
"01/31/2019","24,999.67","24,954.48","25,049.62","24,842.09","507.35M","-0.06%"
"01/30/2019","25,014.86","24,826.52","25,109.62","24,790.90","397.33M","1.77%"
"01/29/2019","24,579.96","24,519.62","24,674.87","24,504.04","330.87M","0.21%"
"01/28/2019","24,528.22","24,596.98","24,596.98","24,323.94","347.17M","-0.84%"
"01/25/2019","24,737.20","24,687.21","24,860.15","24,676.75","376.89M","0.75%"
"01/24/2019","24,553.24","24,579.96","24,626.30","24,422.73","320.17M","-0.09%"
"01/23/2019","24,575.62","24,577.25","24,700.98","24,307.17","318.60M","0.70%"
"01/22/2019","24,404.48","24,607.76","24,607.76","24,244.31","338.48M","-1.22%"
"01/18/2019","24,706.35","24,534.19","24,750.22","24,459.03","372.97M","1.38%"
"01/17/2019","24,370.10","24,147.09","24,474.46","24,088.90","288.59M","0.67%"
"01/16/2019","24,207.16","24,139.91","24,288.61","24,119.72","302.83M","0.59%"
"01/15/2019","24,065.59","23,914.11","24,099.14","23,887.93","291.57M","0.65%"
"01/14/2019","23,909.84","23,880.53","23,964.90","23,765.24","277.56M","-0.36%"
"01/11/2019","23,995.95","23,940.01","23,996.32","23,798.16","262.65M","-0.02%"
"01/10/2019","24,001.92","23,811.11","24,014.78","23,703.25","338.15M","0.51%"
